gene;log2FC;pvalue;ATAC score (pi-value)
LUZP6;0.283544208;0.024676094;0.455860710320419
LVRN;-0.583096607;0.002645418;-1.50293482571254
LXN;0.071507789;0.473635216;0.0232082829799262
LY6D;0.151971291;0.109960007;0.145704791468293
LY6E;-0.872722737;0.001536351;-2.45541375729201
LY6G5C;-0.448975182;0.022542719;-0.73945929733728
LY6G6D;-0.476790567;0.077548068;-0.529442080888981
LY6G6E;-0.476790567;0.077548068;-0.529442080888981
LY6G6F;0.550437601;0.029430633;0.842830273123453
LY6H;-0.541172081;0.150767725;-0.444676563057539
LY75;0.378938023;0.090168889;0.395968741191209
LY75-CD302;0.21110662;0.180084605;0.157173821099449
LY86;-0.285263742;0.00820496;-0.595038352217031
LY86-AS1;0.383951044;0.1148681;0.360837407090099
LY9;0.336411245;0.019798192;0.573034325594876
LY96;0.495185335;0.088753353;0.5208434774292
LYAR;-0.26749336;0.005075825;-0.613761738245574
LYL1;0.573673272;0.014422726;1.0561053286279
LYN;0.251433312;0.04894921;0.329441581469846
LYNX1;-0.162372184;0.434860996;-0.0587218262654296
LYPD1;-0.443526698;0.077170006;-0.493446278062707
LYPD3;-0.301157201;0.038451449;-0.42616372732187
LYPD4;0.17766754;0.215098901;0.118568530812887
LYPD6;-0.311736449;0.194596185;-0.221602742237303
LYPD6B;0.341341118;0.165084043;0.267029416983817
LYPLA1;-0.396599564;0.028239532;-0.614389242021717
LYPLA2;-0.406672548;0.004666606;-0.947953247776588
LYPLA2P2;-0.061013507;0.992805389;-0.000191330678156332
LYPLAL1;0.338383087;0.080162251;0.370878047355853
LYPLAL1-AS1;-0.081528335;0.868798621;-0.0049798222093481
LYPLAL1-DT;-0.050822769;0.510706844;-0.0148315234022621
LYRM1;-1.126117754;0.004430465;-2.65037521689603
LYRM2;0.281845629;0.031507536;0.423215326332011
LYRM4;-0.388160574;0.017076136;-0.686116665527411
LYRM4-AS1;0.022816613;0.938640987;0.000627467938766482
LYRM5;0.508511403;0.025758612;0.808064050659537
LYRM7;0.710263232;0.004719127;1.65217053180538
LYRM9;-0.201502577;0.017191877;-0.355586903565584
LYSMD1;-0.349419789;0.00831407;-0.726858266164097
LYSMD2;0.208094902;0.053118884;0.265269196456517
LYSMD3;0.436983825;0.002972809;1.10418514636669
LYSMD4;0.157361736;0.051392147;0.20285552349318
LYST;-0.400148856;0.013296065;-0.750790043243741
LYVE1;-0.664923299;0.029590359;-1.0165678299534
LYZ;0.571105574;0.026885236;0.896913392390414
LYZL1;-0.344341284;0.270525235;-0.195514301056153
LYZL2;-0.312935907;0.260249041;-0.182945730392116
LYZL4;-0.067374958;0.409411119;-0.0261307284183326
LZIC;0.633395043;0.003072555;1.59140525729529
LZTFL1;-0.547375908;0.027359202;-0.855491931335656
LZTR1;-0.648276374;0.00466111;-1.51146326869903
LZTS1;-0.044017947;0.571535536;-0.0106944578544569
LZTS1-AS1;-0.677634454;0.116759842;-0.632034060800199
LZTS2;-0.359503701;0.008954058;-0.736256424372725
LZTS3;0.563735732;0.011401768;1.09535419921118
M1AP;-0.191370751;0.105460448;-0.186952074630616
M6PR;0.346753504;0.015360929;0.628866092978814
MAATS1;-0.2924254;0.069907443;-0.337890701898824
MAB21L1;0.153612746;0.173248333;0.116950135615204
MAB21L2;-0.28342835;0.020285186;-0.479793464515117
MAB21L3;-0.341354852;0.115328009;-0.320213109383477
MACC1;-0.201326883;0.03539129;-0.292146166146376
MACC1-AS1;-0.201326883;0.03539129;-0.292146166146376
MACF1;-0.647468829;0.017132754;-1.14354184814142
MACO1;0.037379699;0.57137586;0.00908618666111838
MACROD1;-0.590103371;0.017129769;-1.04226919008789
MACROD2;0.373711993;0.138056011;0.321371639971489
MACROD2-AS1;-0.097273412;0.922089016;-0.00342666520182648
MAD1L1;0.553411881;0.008945145;1.13361587842251
MAD2L1;0.231307411;0.060870881;0.281175071162246
MAD2L1BP;-0.331780896;0.010557522;-0.655744372157352
MAD2L2;-0.23698395;0.005107887;-0.543110033686812
MADCAM1;0.368376578;0.029023498;0.566286985245342
MADD;0.507559404;0.004095011;1.21192239220549
MAEA;0.354877093;0.036398325;0.510639250369495
MAEL;-0.130216986;0.137254374;-0.112308739603519
MAF;0.65219296;0.006866572;1.41086295683649
1 MAF;0.288013898;0.089147826;0.30238269342103
MAFA;0.272197516;0.162655684;0.214690552495422
MAFB;-0.301522532;0.006781273;-0.653908529495135
MAFF;-0.396506139;0.030701221;-0.599852072963812
MAFG;0.596075729;0.001972896;1.61232274045043
MAFG-AS1;0.596075729;0.001972896;1.61232274045043
MAFG-DT;0.01899714;0.980528195;0.000162233936486978
MAFK;-0.577981399;0.002525003;-1.50144430217073
MAFTRR;0.165713409;0.724377123;0.023205722612066
MAG;0.337826948;0.167872838;0.261822495121089
MAGEA1;0.20829167;0.114215237;0.196268232211059
